2021-08-18 18:33:50,005 | scanner | __init__ | 24 | DEBUG | Scanner on
2021-08-18 18:33:50,008 | scanner | __init__ | 27 | DEBUG | Load document, path: ./test2\AAGC - Top 10 Assets by Vurlnerabilities.pdf
2021-08-18 18:33:50,006 | scanner | __init__ | 24 | DEBUG | Scanner on
2021-08-18 18:33:50,006 | scanner | __init__ | 27 | DEBUG | Load document, path: ./test2\AAES - TOP25 Remediation with Details.pdf
2021-08-18 18:33:50,007 | scanner | scan | 60 | DEBUG | Document path: ./test2\AAES - Top 10 Assets by Vurlnerabilities.pdf
2021-08-18 18:33:50,007 | scanner | __init__ | 24 | DEBUG | Scanner on
2021-08-18 18:33:50,006 | scanner | __init__ | 34 | DEBUG | Loading scan template: Top10
2021-08-18 18:33:50,008 | scanner | __init__ | 24 | DEBUG | Scanner on
2021-08-18 18:33:50,008 | scanner | scan | 60 | DEBUG | Document path: ./test2\AAGC - Top 10 Assets by Vurlnerabilities.pdf
2021-08-18 18:33:50,009 | scanner | __init__ | 27 | DEBUG | Load document, path: ./test2\AAGC - TOP25 Remediation with Details.pdf
2021-08-18 18:33:50,009 | scanner | __init__ | 24 | DEBUG | Scanner on
2021-08-18 18:33:50,010 | scanner | scan | 60 | DEBUG | Document path: ./test2\AAES - TOP25 Remediation with Details.pdf
2021-08-18 18:33:50,010 | scanner | __init__ | 24 | DEBUG | Scanner on
2021-08-18 18:33:50,011 | scanner | __init__ | 34 | DEBUG | Loading scan template: Top10
2021-08-18 18:33:50,012 | scanner | __init__ | 24 | DEBUG | Scanner on
2021-08-18 18:33:50,012 | scanner | __init__ | 27 | DEBUG | Load document, path: ./test2\AAGS - Top 10 Assets by Vurlnerabilities - External.pdf
2021-08-18 18:33:50,013 | scanner | __init__ | 24 | DEBUG | Scanner on
2021-08-18 18:33:50,013 | scanner | __init__ | 39 | INFO | Scan template: {'page': 1, 'crop': (73, 73, 1720, 1040)}
2021-08-18 18:33:50,013 | scanner | __init__ | 24 | DEBUG | Scanner on
2021-08-18 18:33:50,013 | scanner | __init__ | 27 | DEBUG | Load document, path: ./test2\AAGS - Top 10 Assets by Vurlnerabilities.pdf
2021-08-18 18:33:50,014 | scanner | __init__ | 24 | DEBUG | Scanner on
2021-08-18 18:33:50,015 | scanner | __init__ | 34 | DEBUG | Loading scan template: Top10
2021-08-18 18:33:50,015 | scanner | scan | 60 | DEBUG | Document path: ./test2\AAGC - TOP25 Remediation with Details.pdf
2021-08-18 18:33:50,015 | scanner | __init__ | 24 | DEBUG | Scanner on
2021-08-18 18:33:50,016 | scanner | __init__ | 27 | DEBUG | Load document, path: ./test2\AAGS - TOP25 Remediation with Details.pdf
2021-08-18 18:33:50,016 | scanner | __init__ | 24 | DEBUG | Scanner on
2021-08-18 18:33:50,018 | scanner | __init__ | 34 | DEBUG | Loading scan template: Top25
2021-08-18 18:33:50,019 | scanner | __init__ | 27 | DEBUG | Load document, path: ./test2\AAGT - Top 10 Assets by Vurlnerabilities.pdf
2021-08-18 18:33:50,020 | scanner | __init__ | 24 | DEBUG | Scanner on
2021-08-18 18:33:50,020 | scanner | __init__ | 39 | INFO | Scan template: {'page': 1, 'crop': (73, 73, 1720, 1040)}
2021-08-18 18:33:50,020 | scanner | __init__ | 24 | DEBUG | Scanner on
2021-08-18 18:33:50,021 | scanner | __init__ | 27 | DEBUG | Load document, path: ./test2\AAGT - TOP25 Remediation with Details.pdf
2021-08-18 18:33:50,021 | scanner | scan | 60 | DEBUG | Document path: ./test2\AAGS - Top 10 Assets by Vurlnerabilities - External.pdf
2021-08-18 18:33:50,021 | scanner | __init__ | 24 | DEBUG | Scanner on
2021-08-18 18:33:50,021 | scanner | __init__ | 27 | DEBUG | Load document, path: ./test2\AMER - Top 10 Assets by Vurlnerabilities - External.pdf
2021-08-18 18:33:50,022 | scanner | page | 78 | DEBUG | Getting page 1, pdf=None
2021-08-18 18:33:50,022 | scanner | __init__ | 27 | DEBUG | Load document, path: ./test2\AMER - Top 10 Assets by Vurlnerabilities.pdf
2021-08-18 18:33:50,022 | scanner | __init__ | 24 | DEBUG | Scanner on
2021-08-18 18:33:50,023 | scanner | scan | 60 | DEBUG | Document path: ./test2\AAGS - Top 10 Assets by Vurlnerabilities.pdf
2021-08-18 18:33:50,023 | scanner | __init__ | 24 | DEBUG | Scanner on
2021-08-18 18:33:50,023 | scanner | __init__ | 27 | DEBUG | Load document, path: ./test2\AMER - TOP25 Remediation with Details.pdf
2021-08-18 18:33:50,024 | scanner | __init__ | 24 | DEBUG | Scanner on
2021-08-18 18:33:50,024 | scanner | __init__ | 39 | INFO | Scan template: {'page': 1, 'crop': (73, 73, 1720, 1040)}
2021-08-18 18:33:50,025 | scanner | __init__ | 24 | DEBUG | Scanner on
2021-08-18 18:33:50,026 | scanner | __init__ | 34 | DEBUG | Loading scan template: Top25
2021-08-18 18:33:50,027 | scanner | __init__ | 24 | DEBUG | Scanner on
2021-08-18 18:33:50,027 | scanner | __init__ | 27 | DEBUG | Load document, path: ./test2\APAC - Top 10 Assets by Vurlnerabilities.pdf
2021-08-18 18:33:50,027 | scanner | __init__ | 24 | DEBUG | Scanner on
2021-08-18 18:33:50,027 | scanner | scan | 60 | DEBUG | Document path: ./test2\AAGS - TOP25 Remediation with Details.pdf
2021-08-18 18:33:50,027 | scanner | __init__ | 24 | DEBUG | Scanner on
2021-08-18 18:33:50,028 | scanner | __init__ | 27 | DEBUG | Load document, path: ./test2\APAC TOP25 Remediation with Details.pdf
2021-08-18 18:33:50,028 | scanner | __init__ | 39 | INFO | Scan template: {'page': 1, 'crop': (108, 252, 1677, 621)}
2021-08-18 18:33:50,028 | scanner | scan | 60 | DEBUG | Document path: ./test2\AAGT - Top 10 Assets by Vurlnerabilities.pdf
2021-08-18 18:33:50,028 | scanner | __init__ | 27 | DEBUG | Load document, path: ./test2\APAC- Top 10 Assets by Vurlnerabilities - External.pdf
2021-08-18 18:33:50,029 | scanner | page | 78 | DEBUG | Getting page 1, pdf=None
2021-08-18 18:33:50,029 | scanner | __init__ | 27 | DEBUG | Load document, path: ./test2\EMEA - Top 10 Assets by Vurlnerabilities - External.pdf
2021-08-18 18:33:50,029 | scanner | scan | 60 | DEBUG | Document path: ./test2\AAGT - TOP25 Remediation with Details.pdf
2021-08-18 18:33:50,030 | scanner | __init__ | 34 | DEBUG | Loading scan template: Top10
2021-08-18 18:33:50,030 | scanner | __init__ | 27 | DEBUG | Load document, path: ./test2\EMEA - Top 10 Assets by Vurlnerabilities.pdf
2021-08-18 18:33:50,031 | scanner | scan | 60 | DEBUG | Document path: ./test2\AMER - Top 10 Assets by Vurlnerabilities - External.pdf
2021-08-18 18:33:50,031 | scanner | page | 82 | DEBUG | PDF not provided, using last scanned document
2021-08-18 18:33:50,031 | scanner | scan | 60 | DEBUG | Document path: ./test2\AMER - Top 10 Assets by Vurlnerabilities.pdf
2021-08-18 18:33:50,031 | scanner | __init__ | 27 | DEBUG | Load document, path: ./test2\EMEA - TOP25 Remediation with Details.pdf
2021-08-18 18:33:50,032 | scanner | __init__ | 34 | DEBUG | Loading scan template: Top10
2021-08-18 18:33:50,033 | scanner | __init__ | 27 | DEBUG | Load document, path: ./test2\GSSC - Top 10 Assets by Vurlnerabilities - External.pdf
2021-08-18 18:33:50,033 | scanner | scan | 60 | DEBUG | Document path: ./test2\AMER - TOP25 Remediation with Details.pdf
2021-08-18 18:33:50,033 | scanner | __init__ | 27 | DEBUG | Load document, path: ./test2\GSSC - Top 10 Assets by Vurlnerabilities.pdf
2021-08-18 18:33:50,033 | scanner | page | 78 | DEBUG | Getting page 1, pdf=None
2021-08-18 18:33:50,033 | scanner | __init__ | 27 | DEBUG | Load document, path: ./test2\GSSC - TOP25 Remediation with Details.pdf
2021-08-18 18:33:50,034 | scanner | __init__ | 39 | INFO | Scan template: {'page': 1, 'crop': (108, 252, 1677, 621)}
